iter	Passed	Remaining
908	17917	1793
909	17930	1773
910	17941	1752
911	17952	1732
912	17965	1711
913	17975	1691
914	17988	1671
915	18001	1650
916	18011	1630
917	18024	1610
918	18037	1589
919	18049	1569
920	18059	1549
921	18072	1528
922	18083	1508
923	18094	1488
924	18106	1468
925	18118	1447
926	18129	1427
927	18142	1407
928	18154	1387
929	18167	1367
930	18180	1347
931	18191	1327
932	18203	1307
933	18217	1287
934	18231	1267
935	18245	1247
936	18258	1227
937	18270	1207
938	18282	1187
939	18296	1167
940	18310	1148
941	18323	1128
942	18334	1108
943	18346	1088
944	18358	1068
945	18367	1048
946	18378	1028
947	18390	1008
948	18401	988
949	18413	969
950	18427	949
951	18441	929
952	18455	910
953	18467	890
954	18478	870
955	18492	851
956	18502	831
957	18514	811
958	18526	792
959	18539	772
960	18551	752
961	18564	733
962	18576	713
963	18589	694
964	18601	674
965	18612	655
966	18624	635
967	18636	616
968	18648	596
969	18661	577
970	18671	557
971	18684	538
972	18695	518
973	18706	499
974	18717	479
975	18730	460
976	18742	441
977	18755	421
978	18767	402
979	18778	383
980	18789	363
981	18803	344
982	18820	325
983	18835	306
984	18846	287
985	18856	267
986	18870	248
987	18882	229
988	18893	210
989	18904	190
990	18916	171
991	18928	152
992	18939	133
993	18950	114
994	18961	95
995	18972	76
996	18983	57
997	18994	38
998	19005	19
999	19018	0
